HQ261630.1	Phytophthora nicotianae
HQ261631.1	Phytophthora nicotianae
HQ261632.1	Phytophthora nicotianae
HQ643299.1	Phytophthora nicotianae
HQ643300.1	Phytophthora nicotianae
HQ643301.1	Phytophthora nicotianae
HQ643302.1	Phytophthora nicotianae
HQ643303.1	Phytophthora nicotianae
GU119914.1	Phytophthora niederhauserii
HQ917909.1	Phytophthora obscura
HQ917911.1	Phytophthora obscura
JX978155.1	Phytophthora occultans
KC855330.1	Phytophthora pachypleura
AF266780.1	Phytophthora palmivora
HQ261633.1	Phytophthora palmivora
HQ261634.1	Phytophthora palmivora
HQ261635.1	Phytophthora palmivora
HQ261636.1	Phytophthora palmivora
HQ643305.1	Phytophthora palmivora
HQ643306.1	Phytophthora palmivora
HQ643307.1	Phytophthora palmivora
HQ643308.1	Phytophthora palmivora
AY659736.1	Phytophthora parsiana
AY659737.1	Phytophthora parsiana
AY659738.1	Phytophthora parsiana
AY659739.1	Phytophthora parsiana
AY659740.1	Phytophthora parsiana
AY659741.1	Phytophthora parsiana
HQ261637.1	Phytophthora parsiana
HQ261638.1	Phytophthora parsiana
HQ261639.1	Phytophthora parsiana
AF266778.1	Phytophthora phaseoli
HQ261640.1	Phytophthora phaseoli
HQ261641.1	Phytophthora phaseoli
HQ261642.1	Phytophthora phaseoli
HQ643309.1	Phytophthora phaseoli
GQ324989.1	Phytophthora pini
HQ643310.1	Phytophthora pini
EU725805.1	Phytophthora pinifolia
EU725806.1	Phytophthora pinifolia
HQ261643.1	Phytophthora pinifolia
HQ894391.1	Phytophthora pisi
HQ894394.1	Phytophthora pisi
HQ894395.1	Phytophthora pisi
HQ894399.1	Phytophthora pisi
AF403506.1	Phytophthora pistaciae
HQ261644.1	Phytophthora pistaciae
HQ261645.1	Phytophthora pistaciae
AF266789.1	Phytophthora plurivora
AJ007370.1	Phytophthora plurivora
FJ665225.1	Phytophthora plurivora
FJ665227.1	Phytophthora plurivora
HQ643311.1	Phytophthora plurivora
HQ643312.1	Phytophthora plurivora
KC529657.1	Phytophthora pluvialis
DQ396409.1	Phytophthora polonica
DQ396417.1	Phytophthora polonica
DQ396422.1	Phytophthora polonica
HQ261646.1	Phytophthora polonica
HQ261647.1	Phytophthora polonica
JX276017.1	Phytophthora polonica
AF380150.1	Phytophthora porri
HQ261648.1	Phytophthora porri
HQ261649.1	Phytophthora porri
HQ643314.1	Phytophthora porri
HQ643315.1	Phytophthora porri
HQ643316.1	Phytophthora porri
HQ643317.1	Phytophthora porri
HQ643318.1	Phytophthora porri
HQ643319.1	Phytophthora porri
HQ643320.1	Phytophthora porri
AF266802.1	Phytophthora primulae
HQ261650.1	Phytophthora primulae
HQ261651.1	Phytophthora primulae
HQ643321.1	Phytophthora primulae
HQ643322.1	Phytophthora primulae
HQ643323.1	Phytophthora primulae
HQ643324.1	Phytophthora primulae
AB894384.1	Phytophthora pseudolactucae
AB894385.1	Phytophthora pseudolactucae
AY230190.1	Phytophthora pseudosyringae
AY242980.1	Phytophthora pseudosyringae
GU993912.1	Phytophthora pseudosyringae
HQ261652.1	Phytophthora pseudosyringae
HQ261653.1	Phytophthora pseudosyringae
HQ643326.1	Phytophthora pseudosyringae
HQ643327.1	Phytophthora pseudosyringae
HQ643328.1	Phytophthora pseudosyringae
HQ643329.1	Phytophthora pseudosyringae
AF266774.1	Phytophthora pseudotsugae
GU993913.1	Phytophthora pseudotsugae
HQ261654.1	Phytophthora pseudotsugae
HQ261655.1	Phytophthora pseudotsugae
HQ643330.1	Phytophthora pseudotsugae
HQ643331.1	Phytophthora pseudotsugae
