#sequence-name	taxid	genus-species
7b530ceacdffa9f6a2d74cd7013c62b0_1070	1190534	Phytophthora lacustris
e89c49c05218a0b832ac6c37414e7cc4_1066	795339	Phytopythium
b6b21920f4e5f6fa2d6450593859f2aa_1027	137729	Phytophthora tropicalis
0eb7e1997d8a34c94d69ebf70f036d8b_1022	1190534	Phytophthora lacustris
ffdb85a99a628f8d1d72756461424d32_1021	0	
2068272f8788f7319bf040cda78e2a32_1012	0	
785afa5a2aaa1cea17fee5f56bba011d_962	78237	Phytophthora gonapodyides
197a261c5a2e8da4bf0ff21b1ff06738_960	0	
0bee587ab9939bacef06841060545350_954	4793	Phytophthora citrophthora
d74a7ee731e1bf4b8e82acad1d3c5d53_952	0	
ffe9bc68a52fad924e7198da946de675_933	1380738	Phytophthora pachypleura
cdbca058e3187f19321ae0e2ee63d422_928	0	
790e4a597416e73e0fb92c8f5e550383_925	78237	Phytophthora gonapodyides
f0e104157dba260b2e3abac215a2bed4_920	0	
8563193a680c4a90f42704235b842e92_914	0	
88c30cd5198b5c00764cb64ead1ea822_913	53984	Phytophthora citricola
c47fdbc268e2bbc6934f68fd419d9409_910	0	
af27b99b54e4ee4e40c71c5ab386a0fe_907	1185511	Phytophthora riparia
797ffd6a41d783ec34c8f32992f495a8_894	0	
fbac189093d584d1e62a7335d01ab2d3_891	70742	Peronospora
eebf4cd294fc603fecafb46d2d238cc6_888	544909	Phytophthora parsiana
cd5c046b145535d3327406a4e3234f1b_886	0	
a2a5363cfc616532507347308c20ae2f_885	1396423	Phytophthora mississippiae
5d4c8a77c744302f9bd0a5a9cea7b28d_882	0	
8b19b240de1e69ef65873b317252c836_880	0	
ad18ebe2a6422266a6bb69f2814b48f3_878	0	
ccfe2b8e66a7a892b216b1f7db8ccf9f_868	1197710	Phytophthora bilorbang
18a646574d9384d6f19f70e4e08c32b6_859	1197710	Phytophthora bilorbang
45138e9fa59fe5faacbb044e02b930aa_855	67594	Phytophthora syringae
bf95769f13c13bfb449b038bc342a906_838	0	
95bcdee892d085bcebf09f449d618f06_838	0	
9fbea378cecccc4a9aa3a839c707c509_838	53984	Phytophthora citricola
572e7fadef0924137874950cc33bfa2b_822	0	
1f746b4fc5d5c9c87e8794c169d449c4_795	2496075;29920	Phytophthora aleatoria;Phytophthora cactorum
9f197805f97bf3fb924720000b6a9932_783	0	
b25743548114fe5699e0ebab81b5ffb5_782	4797	Pythium
f893959b4aba6d1b1391c18607946d84_780	0	
3f5765448c76c86c84928742563018ed_760	4783	Phytophthora
b52f935f3afbc9ea1c6ad31607097336_713	0	
3faf6834caede969b2584c7bc04bde0a_711	0	
0da9206d52073490c26e39a84ffe2d0f_711	164328	Phytophthora ramorum
b6c2f30dad14209fd49852ece4f314a9_694	325452	Phytophthora kernoviae
6605c8eea24c584429891757c83788c3_689	78237	Phytophthora gonapodyides
f1d4c0432c89f005ec2b4e467839f5cc_673	4785	Phytophthora cinnamomi
3f9faafdf784105ccf350d40820e4b88_666	0	
976e7b91be950347258ba46c9e106172_659	325452	Phytophthora kernoviae
6d85285e77611ff5d472b91005d2437d_653	70742	Peronospora
829816200c51c495f5bd8ca3bee4d7e0_649	2675548;658425	Phytophthora caryae;Phytophthora pini
cbc159116f9bac8f72919e44d8ff3139_638	0	
409ee2fdb49ff04a8779c700fde5f551_637	0	
c2538f30ccb8f5ac3c0de628d8a17f75_636	2675548;658425	Phytophthora caryae;Phytophthora pini
3ac05e751926895b692168cca7844743_633	1692154	Phytophthora chlamydospora
44ee80817159532b0559d660745f8835_626	544909	Phytophthora parsiana
fab05eb90207a9ada6d08f5621b43d50_624	0	
a17a3b8e7ddf8422077d509d8c147314_620	2675548;658425	Phytophthora caryae;Phytophthora pini
c08bdf9b28e77c3708a8811b3f30d1fc_618	0	
14bbc1c8a659f1e128e24f4a73999795_614	0	
26c2ade268b82544722cb757aba476cb_612	0	
0770fca8db0cefef5e467be577a04ccd_607	2675548;1380738;658425	Phytophthora caryae;Phytophthora pachypleura;Phytophthora pini
faf42aa48ebbcfb399b5f9e101a1e416_607	0	
5cefd306ad117519d6b457b1eecdf564_606	2675548;658425	Phytophthora caryae;Phytophthora pini
7f59fab72b10ed537eb1d394b67db1a7_596	0	
f04e371f8fe47c76568fd7b5d30859a9_589	795339	Phytopythium
c2185d96b3a51bd574ea9f3e586e8c63_578	0	
df603b8238d95524914f4752b56bc99d_575	2675548;658425	Phytophthora caryae;Phytophthora pini
52b57538cffefb845b0459aef29713bd_572	544909	Phytophthora parsiana
f288b0fb9b62aa6ccf3c18395618c999_569	0	
b5f4ef059c875cfef2aeafd6912fa22d_565	0	
4fe8c97bd9525d765cdabe82fba61080_563	4783	Phytophthora
cff1df959ea4db8c6d18510a79169005_559	0	
0c1568e8342244a17f076df427a1afef_554	0	
aa757893239cedd6e6b4d85151d6dd5c_554	4783	Phytophthora
d10a6c1e3c27b1662440489723c22c67_541	0	
e5a54f35366244cec6f26fb83571b0fe_540	0	
6cd0df0207ea4019297c125df7fb20c6_539	0	
745868c056278b0aceb61adc155619a9_536	0	
a595248a555174b560efd1d982414b6f_536	2675548;658425	Phytophthora caryae;Phytophthora pini
88c3582dd51f9479d6dd8bc4ff1108f6_531	0	
5cccad51ba1f1c5a3641b34277cc1ec1_527	0	
e0364e6969a1d2e12e4c2dac89b0ed2a_527	0	
c77d93d17e1e6df3a7193cdf31418252_515	0	
f506ed56de1043fc6f49ebb7ce48340f_511	0	
a6b66b606529fa7c889784b9ee73abb4_510	0	
96533405ab0a66e6e3381981aaf61617_502	0	
27b85f2164071cc311b7468cbe7f59ca_500	0	
3faa5e04565e89ef718159435cb8d643_500	0	
ea971867f4e22050e081c8ab0f1a71b6_497	2675548;658425	Phytophthora caryae;Phytophthora pini
501be6b5e370e96d8471f23bcf21c0a0_494	2675548;658425	Phytophthora caryae;Phytophthora pini
874a8dc5c65a3b46f71f29133b5caa81_490	4783	Phytophthora
ed2b602f6bdcc1b4ac9ae5d300aa83ae_487	0	
6f88b9d2610be473ad94454f28a9105d_485	2675548;658425	Phytophthora caryae;Phytophthora pini
3e78c46a93b6ac5b85ea92ca210032c0_481	175300	Phytophthora hibernalis
de9ce91e0bdbda80b222b20c56d7056e_479	2675548;658425	Phytophthora caryae;Phytophthora pini
