Site Code (Site Type)	Location	Surveyed Location and Nearest Hosts	Signs of Ill-Health Tree Status	ITS	COI	Isolation	ITS Illumina
US4 (Undisturbed site 4)	US4-10	Acer campestre	Declining	P. syringae, Clade 7 Phytophthora sp. uncultured 4a, Clade 6 Phytophthora sp. uncultured 9a, Nothophytophthora sp.	Nothophytophthora sp. 3, Nothophytophthora sp. 8	P. plurivora	SRR13393740
US5 (Undisturbed site 5)	US5-1	Decayed Quercus robur	Dead	P. ramorum	-	-	SRR13393739
US5 (Undisturbed site 5)	US5-2	Tsuga heterophylla	Healthy	-	-	-	SRR13393738
US5 (Undisturbed site 5)	US5-3	Picea sitchensis	Healthy	-	-	-	Unavailable
US5 (Undisturbed site 5)	US5-4	Picea sitchensis	Declining	-	-	-	Unavailable
US5 (Undisturbed site 5)	US5-5	Bog	NA	-	-	-	Unavailable
US5 (Undisturbed site 5)	US5-6	Salix	Healthy	-	-	-	Unavailable
US5 (Undisturbed site 5)	US5-7	Pinus contorta	Declining	P. capsici, P. foliorum, P. rubi/fragariae, Clade 2 Phytophthora sp. uncultured 17a	-	-	SRR13393737
US5 (Undisturbed site 5)	US5-8	Decayed Betula	Dead	P. capsici, P. foliorum, P. plurivora/citricola, Clade 2 Phytophthora sp. uncultured 17a	-	-	SRR13393834
US5 (Undisturbed site 5)	US5-9	Fagus sylvatica	Healthy	-	-	-	Unavailable
US5 (Undisturbed site 5)	US5-10	Abies procera	Healthy	-	-	-	Unavailable
CP (Control Phytophthora)	CP1	-	-	P. capsici, P. castaneae, P. fallax, P. foliorum, P. idaei, P. obscura, P. plurivora, P. rubi, P. siskiyouensis	-	-	SRR13393837
CP (Control Phytophthora)	CP2	-	-	P. capsici, P. castaneae, P. fallax, P. foliorum, P. idaei, P. obscura, P. plurivora, P. rubi, P. siskiyouensis	-	-	SRR13393813
CP (Control Phytophthora)	CP3	-	-	P. capsici, P. castaneae, P. fallax, P. foliorum, P. idaei, P. obscura, P. plurivora, P. rubi, P. siskiyouensis	-	-	SRR13393802
CN (Control Negative)	CN1	-	-	-	-	-	SRR13393836
CN (Control Negative)	CN2	-	-	-	-	-	SRR13393824
